FedRoutingNR,Telegraphic Name,Customer Name,State,City,Eligible,Status,Last Change
011000015,FRB-BOS,FEDERAL RESERVE BANK OF BOSTON,MA,BOSTON,Y,Y,20040910
011000536,FHLB BOSTON,FEDERAL HOME LOAN BANK,MA,BOSTON,Y,Y,20170818
011001234,BK OF NYC,THE BANK OF NEW YORK MELLON,NY,NEW YORK,Y,N,20170424
011001276,ONEUNITED BANK,ONEUNITED BANK,MA,BOSTON,Y,Y,20021231
011001438,STATE STREET BK,STATE STREET BANK,MA,BOSTON,N,N,20091102
011002550,EASTERN BANK LYNN,EASTERN BANK,MA,BOSTON,N,N,20160414
011002725,COMMERCE WORCESTER,COMMERCE BANK & TRUST CO.,MA,WORCESTER,N,N,20140922
011002877,EW BK SMRINO,EAST WEST BANK,MA,BOSTON,Y,N,20141107
011075150,SANTANDER BK,SANTANDER BANK  N.A.,PA,WYOMISSING,Y,Y,20131029
011075202,SANTANDER BK,SANTANDER BANK  N.A.,MA,BOSTON,N,N,20170804
011100481,RCPC WINDSOR LOCKS,F.R.B. BOSTON WINDSOR LOCKS RCPC,CT,WINDSOR LOCKS,N,N,20140515
011101613,NEW ENG BK WINDSOR,WEBSTER BANK,CT,WINDSOR,N,N,20001101
011102133,HOMETOWN CNB,HOMETOWN BANK,MA,WEBSTER,Y,N,20161118
011102502,UNION SAVINGS,UNION SAVINGS BANK,CT,LITCHFIELD,Y,N,20101223
011102667,CANAAN NATL,SALISBURY BANK & TRUST CO.,CT,LAKEVILLE,Y,N,20170609
011103093,TD BANK  NA,TD BANK  NA,CT,GLASTONBURY,Y,N,20141107
011104322,FST CITY N BRITAIN,WEBSTER BANK  N.A.,CT,NEW BRITAIN,Y,N,20100416
011104351,SIMSBURY B&T,SIMSBURY BANK AND TRUST CO,CT,SIMSBURY,Y,Y,19991223
011110617,BANKERS' NE GLAST,BANKERS' BANK NORTHEAST,CT,GLASTONBURY,Y,Y,20141107
011110633,UNITED COOP SPFLD,UNITED BANK,MA,W SPRINGFIELD,N,N,20121119
011110646,UNITED COOP SPFLD,UNITED BANK,MA,W SPRINGFIELD,N,N,20121119
011110659,LIBERTY MIDDLETOWN,LIBERTY BANK,CT,MIDDLETOWN,Y,N,20130624
011110675,NO AMER BK & TR,WEBSTER BANK  N.A.,CT,WATERBURY,Y,N,20141107
011110701,WEBSTER BANK CT,WEBSTER BANK  N.A.,CT,WATERBURY,Y,N,20100412
011110756,START COMM BANK,START COMMUNITY BANK,CT,NEW HAVEN,Y,N,20101221
011175212,CT COMMUNITY BK NA,CONNECTICUT COMMUNITY BANK  N.A.,CT,WESTPORT,Y,N,20150813
011200475,BANGOR SVGS BK,BANGOR SAVINGS BANK,ME,BIDDEFORD,N,N,20170731
011200608,KEY BANK MAINE,KEYBANK NATIONAL ASSOCIATION,ME,PORTLAND,Y,N,20120507
011201115,BAR HARBOR BK TR,BAR HARBOR BANK & TRUST,ME,BAR HARBOR,N,N,20120925
011201306,CAMDEN NATIONAL BK,CAMDEN NATIONAL BANK,ME,BANGOR,Y,N,20060928
011201380,CAMDEN NATL ME,CAMDEN NATIONAL BANK,ME,ELLSWORTH,Y,N,20100308
011201432,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011201490,CAMDEN BK ME,CAMDEN NATIONAL BANK,ME,GARDINER,Y,N,20151016
011201500,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011201526,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011201759,BAR HARBOR BK TR,BAR HARBOR BANK & TRUST,ME,BAR HARBOR,Y,Y,20050603
011201762,FIRST BAR HARBOR,FIRST NATIONAL BANK,ME,BAR HARBOR,Y,N,20160219
011201830,FIRST DAMARISCOTTA,FIRST NATIONAL BANK,ME,DAMARISCOTTA,Y,Y,20160219
011202907,CAMDEN BK ME,CAMDEN NATIONAL BANK,ME,KENNEBUNK,Y,N,20151016
011202910,TD BANK USA  N.A.,TD BANK USA  NATIONAL ASSOCIATION,ME,PORTLAND,Y,N,20141107
011301798,EASTERN BANK LYNN,EASTERN BANK,MA,BOSTON,Y,Y,20020501
011301992,BANKFIVE,BANKFIVE,MA,NEW BEDFORD,Y,N,20141107
011302221,BROADWAY CHELSEA,TD BANKNORTH MASS,MA,CHELSEA,N,N,20050711
011302603,NORTHMARK N ANDOVR,THE NORTHMARK BK,MA,NORTH ANDOVER,Y,Y,20100726
011302616,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011302768,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011303123,TD BANKNORTH MASS,TD BANKNORTH MASS,NH,SEABROOK,N,N,20050606
011304711,FIRST IPSWICH,FIRST IPSWICH BANK,MA,IPSWICH,Y,Y,20120813
011305260,IFS NEWBURYPORT,INSTITUTION FOR SAVINGS,MA,NEWBURYPORT,Y,N,20141024
011305684,ROCKLAND TRUST,ROCKLAND TRUST COMPANY,MA,ROCKLAND,Y,N,20170629
011305749,CAPE TR HYANNIS,BANKNORTH  N.A.,MA,SOUTH YARMOUTH,N,N,20040902
011306971,ROCKLAND TRUST,ROCKLAND TRUST COMPANY,MA,ROCKLAND,N,N,20100104
011307077,EASTERN BANK LYNN,EASTERN BANK,MA,NEWTON,N,N,20160414
011307080,HORIZON BK & TR CO,HORIZON BANK AND TRUST,MA,BRAINTREE,N,N,20070815
011307116,UNITED SPRINGFIELD,UNITED BANK,MA,WORCESTER,N,N,20141014
011307129,LEADER BK ARLINGTN,THE LEADER BANK,MA,ARLINGTON,Y,N,20130919
011307213,FIRST COMMONS BANK,FIRST COMMONS BANK  NA,MA,NEWTON CENTER,Y,N,20170127
011375164,BROOKLINE BANK,BROOKLINE BANK,MA,BROOKLINE VILLAGE,N,N,20110609
011375245,SOVEREIGN BK NE,SOVEREIGN BANK NEW ENGLAND,MA,DORCHESTER,N,N,20020220
011375384,AVIDIA BANK,AVIDIA BANK,MA,HUDSON,Y,N,20150630
011400071,TD BANK  NA,TD BANK  NA,NH,MANCHESTER,Y,N,20141107
011400149,ST MARYS MANCHESTR,ST MARYS BANK,NH,MANCHESTER,Y,Y,20100308
011401533,CITIZENS NH,CITIZENS BANK NEW HAMPSHIRE,NH,W.LEBANON,N,N,20030516
011401850,BK OF NEW ENGLAND,BANK OF NEW ENGLAND,NH,SALEM,Y,Y,20070329
011401928,MERRIMACK COUNTY,MERRIMACK COUNTY SAVINGS BK,NH,CONCORD,Y,N,20130919
011401960,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011402024,EASTERN BANK LYNN,EASTERN BANK,MA,BOSTON,Y,N,20141209
011402053,HAMPSHIRE FIRST BK,NBT NATIONAL ASSOCIATION,NH,MANCHESTER,Y,N,20121213
011402066,LAKE SUNAPEE BANK,LAKE SUNAPEE BANK,NH,NEWPORT,N,N,20130111
011402079,OPTIMA BANK,OPTIMA BANK & TRUST,NH,PORTSMOUTH,Y,N,20080129
011500120,CITIZENS BANK  NA,CITIZENS BANK  NATIONAL ASSOCIATION,RI,PROVIDENCE,Y,Y,20150203
011500913,CENT W WARWICK,CENTREVILLE BANK,RI,WEST WARWICK,Y,Y,20170119
011501598,WILLIMANTIC SVG CT,THE SAVINGS INSTITUTE,CT,WILLIMANTIC,N,N,20130909
011501682,BK RI PROVIDENCE,BANK OF RHODE ISLAND,RI,PROVIDENCE,Y,Y,20030515
011501705,FREEDOM NATL BANK,FREEDOM NATIONAL BANK,RI,GREENVILLE,Y,N,20130927
011501718,INDEPENDENCE BANK,INDEPENDENCE BANK,RI,EAST GREENWICH,Y,N,20030401
011501721,BANK OF AMERICA RI,BANK OF AMERICA  NA,RI,PROVIDENCE,N,N,20130402
011575236,BOFI FEDERAL BK CA,BOFI FEDERAL BANK,CA,SAN DIEGO,N,N,20150608
011600020,COMMUNITYBKMER,COMMUNITY BANK  NA,NY,DEWITT,Y,N,20170629
011600033,TD BANK  NA,TD BANK  NA,VT,WILLISTON,Y,N,20141107
011600062,PEOPLES BANK,PEOPLE'S UNITED BANK  NA,CT,BRIDGEPORT,Y,N,20150220
011600392,CITZ ST JOHNSBURY,UNION BANK,VT,ST. JOHNSBURY,N,N,20071001
011600486,VT NB BRATTLEBORO,VERMONT NATIONAL BANK,VT,BRATTLEBORO,N,N,20000403
011600525,FIRST VERMONT,TD BANKNORTH VERMONT,VT,WILLISTON,N,N,20050606
011600567,PEOPLES TRUST CO,PEOPLES TRUST COMPANY,VT,SAINT ALBANS,N,Y,20141107
011600570,FRANKLIN ST ALBANS,TD BANKNORTH VERMONT,VT,WILLISTON,N,N,20050606
011600774,BAR HARBOR BK TR,BAR HARBOR BANK & TRUST,ME,BAR HARBOR,N,N,20170522
011600868,COMMUNITY DERBY,COMMUNITY NATIONAL BANK BR 009,VT,DERBY,N,N,20110818
011601029,COMMUNITY DERBY,COMMUNITY NATIONAL BANK,VT,NEWPORT,Y,Y,20130110
011601074,BERKSHIRE BANK,BERKSHIRE BANK,MA,PITTSFIELD,Y,N,20141107
011601171,LAKE SUNAPEE BANK,LAKE SUNAPEE BANK FSB,NH,NEWPORT,N,N,20140102
