Institution Name,Clearing Code,Branch Name,Branch Code,Branch Address,Telephone Number,Clearing System Status*
AAREAL BANK AG  WIESBADEN  GERMANY,552,Wiesbaden Branch,001,Paulinenstrasse 15  65189 Wiesbaden  Germany,Not provided,NCNN
ABN AMRO BANK N.V.,307,Hong Kong Branch,719,37/F  Cheung Kong Center  2 Queen's Road Central  Hong Kong,3763 3700,MDDM
AGRICULTURAL BANK OF CHINA  BEIJING,400,Beijing Branch,001,Jin Yu Plaza  No. 100 Xisanhuan Beilu  Haidian District. Beijing  China,Not provided,NCNN
AGRICULTURAL BANK OF CHINA LIMITED,222,Hong Kong Branch,672,23/F Admiralty Centre  Tower I  Hong Kong,2861 8000,MDDM
AGRICULTURAL BANK OF CHINA LIMITED  SINGAPORE BRANCH,340,Singapore Branch,002,7 Temasek Boulevard  #30-01/02/03 Suntec City Tower 1  Singapore 038987,Not provided,NNNM
ALLAHABAD BANK,256,Hong Kong Branch,686,1908-09  Tower One  Lippo Centre  #89  Queensway  Admiralty  Hong Kong,2523 8363,MINN
ALLIED BANKING CORPORATION (HK) LTD.,402,Hong Kong Branch,001,Allied Capital Resources Building  32-38 Ice House Street  Central  Hong Kong,Not provided,NCNN
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Hong Kong Branch - Retail,784,L22  Three Exchange Square  8 Connaught Place  Central  Hong Kong,3918 2000,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Nathan Road Branch,786,Shops B  C  D  E and F on G/F  1/F and 2/F  Punfet Building  No 701 Nathan Road  Kowloon  Hong Kong,3559 6888,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Central Branch,788,13/F  Three Exchange Square  8 Connaught Place  Central  Hong Kong,3918 2088,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Central Branch,791,13/F  Three Exchange Square  8 Connaught Place  Central  Hong Kong,3918 2088,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Causeway Bay Branch,793,Suites 3704-3709  Tower 2  Times Square  Causeway Bay  Hong Kong,3559 6333,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Taikoo Place Wealth Management Centre,795,15/F Lincoln House  Taikoo Place  Quarry Bay  Hong Kong,2202 2105 2292 2106,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Hong Kong Branch,987,L22  Three Exchange Square  8 Connaught Place  Central  Hong Kong,3918 2000,MDDM
AUSTRALIA AND NEW ZEALAND BANKING GROUP LTD,152,Nathan Road Branch,988,Shops B  C  D  E and F on G/F  1/F and 2/F  Punfet Building  No 701 Nathan Road  Kowloon  Hong Kong,3559 6888,MDDM
AUTORIDADE MONETARIA DE MACAU  MACAU,404,Macau Branch,001,Calcada Do Gaio No. 24-26  Macau,Not provided,NCNN
AXIS BANK LIMITED,261,Hong Kong Branch,691,Suite 1707-08  17/F  Central Plaza  18  Harbour Road  Wanchai  Hong Kong,3656 4002,MDNN
BANCA MONTE DEI PASCHI DI SIENA S.P.A. - HONG KONG BRANCH,234,Hong Kong Branch,935,2305-13  23rd Floor  CITIC Tower  1 Tim Mei Avenue  Central  Hong Kong,2295 2800,MDDM
BANCO BILBAO VIZCAYA ARGENTARIA  S.A.,147,Hong Kong Branch,992,43/F.  Two International Finance Centre  8 Finance Street  Central  Hong Kong,2582 3111 2582 3233,MDNM
BANCO DO BRASIL S. A.  TOKYO BRANCH,356,Tokyo Branch,002,New Kokusai Building  3-4-1  Marunouchi  Chiyoda-ku  Tokyo  100-0005  Japan,Not provided,NNNM
BANCO NACIONAL ULTRAMARINO S.A. MACAU BRANCH,406,Macau Branch,001,22 & 38 Avenida De Almeida Ribeiro  Macau,Not provided,NCNN
BANCO SANTANDER S.A.,267,Hong Kong Branch,697,Room 1501  One Exchange Square  8 Connaught Place  Central  Hong Kong,2101 2133,MDNM
BANGKOK BANK PUBLIC COMPANY LTD,049,Hongkong Main Office,748,Bangkok Bank Building  28 Des Voeux Road Central  Hong Kong.,2801 6572 2801 6571,MDCM
BANGKOK BANK PUBLIC COMPANY LTD,049,Central District Branch,750,Bangkok Bank Building  28 Des Voeux Road Central  Hong Kong.,2801 6572 2801 6571,MDCM
BANGKOK BANK PUBLIC COMPANY LTD,049,Kowloon Branch,752,Bangkok Bank Building  490-492 Nathan Road  Kowloon  Hong Kong.,2300 1840 2801 6571,MDCM
BANK FOR FOREIGN TRADE OF VIETNAM,553,Hanoi Branch,001,198 Tran Quang Khai  Hoan Kiem  Hanoi  Vietnam,Not provided,NCNN
BANK JULIUS BAER & CO. LTD.,320,Hong Kong Branch,723,39/F.  One International Finance Centre  1 Harbour View Street  Central  Hong Kong,2899 4788,MDNM
BANK J. SAFRA SARASIN LTD,278,Hong Kong Branch,718,40/F  Edinburgh Tower  The Landmark  15 Queen's Road Central  Hong Kong,2287 9888,MINM
BANK OF AMERICA  NATIONAL ASSOCIATION,055,Hong Kong Office 1,757,52nd Floor  Cheung Kong Center  2 Queen's Road Central  Central  Hong Kong,3508 8888,MDNM
BANK OF AMERICA  NATIONAL ASSOCIATION,055,HK Consumer Office,772,52nd Floor  Cheung Kong Center  2 Queen's Road Central  Central  Hong Kong,3508 8888,MDNM
BANK OF AMERICA  NATIONAL ASSOCIATION,055,Special Finance Group,773,52nd Floor  Cheung Kong Center  2 Queen's Road Central  Central  Hong Kong,3508 8888,MDNM
BANK OF BARODA,259,Central Branch,689,4th Floor  Dina House  Ruttonjee Centre  11 Duddell Street  Central  Hong Kong,2521 5166,MDNN
BANK OF BARODA,259,Central Branch,690,4th Floor  Dina House  Ruttonjee Centre  11 Duddell Street  Central  Hong Kong,2521 5166,MDNN
BANK OF CHANGSHA CO LTD  CHANGSHA  HUNAN,529,Main Branch,001,1#  Furong Mid Road  Changsha  Hunan  China,Not provided,NCNN
BANK OF CHINA (AUSTRALIA) LIMITED,315,Sydney Branch,002,39 York Street  Sydney NSW 2000  Australia,Not provided,NNNM
BANK OF CHINA (BRASIL) S.A.,326,Sao Paulo Branch,002,Rua Frei Caneca  1332  CEP 01307-002  Sao Paulo  Brasil,Not provided,NNNM
BANK OF CHINA (CANADA),310,Toronto Branch,002,396 Dundas Street West  Toronto  Ontario Canada M5T 1G7,Not provided,NNNM
BANK OF CHINA (DUBAI) BRANCH,369,Dubai Branch,002,Level 11  Tower 2  A1 Fattan Currency House  DIFC Dubai  UAE,Not provided,NNNM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,001,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,002,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,003,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,004,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,005,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,006,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,007,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,008,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,009,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,010,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,011,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,012,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,013,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,014,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,015,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,016,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,017,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,018,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,019,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,020,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,021,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,022,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,023,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,024,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,025,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,026,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,027,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,028,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,029,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,030,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,031,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,032,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,033,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,034,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,035,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,036,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,037,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,038,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,039,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,040,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,041,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,042,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,043,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,044,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,045,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,046,1 Garden Road  Hong Kong,2826 6888,MDDM
BANK OF CHINA (HONG KONG) LIMITED,012,Bank of China Tower Branch,047,1 Garden Road  Hong Kong,2826 6888,MDDM
